	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16508158	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	8	1.6899792	208.8410781	Fremont Cottonwood																																																																																																																																									
SAMN16508157	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	7	1.6865706	180.1402051	Fremont Cottonwood																																																																																																																																									
SAMN16508156	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	6	1.683162	298.7732967	Fremont Cottonwood																																																																																																																																									
SAMN16507823	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	3	1.65869	117890.7431	Arizona Ash																																																																																																																																									
SAMN16508155	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	5	1.677481	285.4849811	Fremont Cottonwood																																																																																																																																									
SAMN16508154	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	4	1.6706638	321.8299606	Fremont Cottonwood																																																																																																																																									
SAMN16508153	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	19	1.7274738	42.95129953	Fremont Cottonwood																																																																																																																																									
SAMN16508152	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	18	1.7252014	48.28312701	Fremont Cottonwood																																																																																																																																									
SAMN16508151	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	17	1.7206566	15.86027864	Fremont Cottonwood																																																																																																																																									
SAMN16508150	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	15	1.7138394	119.7119254	Fremont Cottonwood																																																																																																																																									
SAMN16508214	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	4	1.6649828	806.6853711	Fremont Cottonwood																																																																																																																																									
SAMN16508213	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	3	1.6536208	1292.29461	Fremont Cottonwood																																																																																																																																									
SAMN16508212	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	21	1.7297462	209.0306877	Fremont Cottonwood																																																																																																																																									
SAMN16508211	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	20	1.7274738	431.3552606	Fremont Cottonwood																																																																																																																																									
SAMN16508210	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	2	1.6479398	315.6312711	Fremont Cottonwood																																																																																																																																									
SAMN16508209	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	19	1.7240652	391.4642841	Fremont Cottonwood																																																																																																																																									
SAMN16508208	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	18	1.717248	400.6170271	Fremont Cottonwood																																																																																																																																									
SAMN16508207	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	17	1.7149756	361.9661844	Fremont Cottonwood																																																																																																																																									
SAMN16508206	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	16	1.7161118	506.3424186	Fremont Cottonwood																																																																																																																																									
SAMN16507828	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	8	1.67653	6943.424938	Arizona Ash																																																																																																																																									
SAMN16508205	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	15	1.7104308	755.2444218	Fremont Cottonwood																																																																																																																																									
SAMN16508204	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	14	1.7047498	1080.632598	Fremont Cottonwood																																																																																																																																									
SAMN16508203	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	13	1.700205	2645.154804	Fremont Cottonwood																																																																																																																																									
SAMN16508202	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	12	1.6933878	4581.824811	Fremont Cottonwood																																																																																																																																									
SAMN16508201	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	11	1.6933878	4257.132542	Fremont Cottonwood																																																																																																																																									
SAMN16508200	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	10	1.6899792	4428.824599	Fremont Cottonwood																																																																																																																																									
SAMN16508199	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	18	1	1.6445312	923.7202081	Fremont Cottonwood																																																																																																																																									
SAMN16508198	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	9	1.6933878	303.0563463	Fremont Cottonwood																																																																																																																																									
SAMN16508197	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	8	1.688843	515.7766938	Fremont Cottonwood																																																																																																																																									
SAMN16508196	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	7	1.6854344	743.357292	Fremont Cottonwood																																																																																																																																									
SAMN16507827	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	7	1.67207	16434.88394	Arizona Ash																																																																																																																																									
SAMN16508195	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	6	1.6729362	1552.354847	Fremont Cottonwood																																																																																																																																									
SAMN16508194	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	5	1.6718	1184.87362	Fremont Cottonwood																																																																																																																																									
SAMN16508193	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	4	1.6683914	1324.53226	Fremont Cottonwood																																																																																																																																									
SAMN16508386	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	18	11	1.7012317	666.1146624	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507846	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	11	1.71012	961.114593	Arizona Ash																																																																																																																																									
SAMN16507792	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	15	1.7159	334.7844282	Arizona Ash																																																																																																																																									
SAMN16508385	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	18	10	1.6968969	551.8435185	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508384	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	9	1.6740117	702.3307974	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508383	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	8	1.6708386	3333.67374	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508382	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	7	1.6666078	11631.66323	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508381	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	6	1.6602616	7796.40531	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508380	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	18	1.7216082	1867.602879	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508379	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	17	1.7173774	408.892815	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508378	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	15	1.7089158	341.9306399	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508377	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	14	1.7004542	43.07060554	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508376	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	13	1.6930503	2165.638682	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507845	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	10	1.705496	6644.554115	Arizona Ash																																																																																																																																									
SAMN16508375	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	12	1.6919926	686.7680054	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508374	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	11	1.6845887	931.1913595	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508373	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H2	16	10	1.6793002	1672.377061	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508372	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	9	1.7117665	56589.76073	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508371	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	8	1.710645	111849.5907	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508370	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	7	1.703916	103637.7404	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508369	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	6	1.7005515	295400.5865	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508368	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	5	1.69943	409014.5972	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508367	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	4	1.697187	630791.3088	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508366	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	18	3	1.6960655	682659.0389	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507857	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	6	1.688156	74011.50033	Arizona Ash																																																																																																																																									
SAMN16508495	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	8	1.6634347	1189.679689	Gambel Oak																																																																																																																																									
SAMN16508494	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	7	1.6592039	1333.477361	Gambel Oak																																																																																																																																									
SAMN16508493	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	6	1.6560308	3014.160652	Gambel Oak																																																																																																																																									
SAMN16508492	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	5	1.6518	3803.399489	Gambel Oak																																																																																																																																									
SAMN16508491	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	21	1.7184351	794.9334012	Gambel Oak																																																																																																																																									
SAMN16508490	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	20	1.715262	320.768906	Gambel Oak																																																																																																																																									
SAMN16508489	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	19	1.7110312	93.89567674	Gambel Oak																																																																																																																																									
SAMN16508488	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	18	1.7068004	59.01431544	Gambel Oak																																																																																																																																									
SAMN16508487	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	17	1.7036273	99.40929634	Gambel Oak																																																																																																																																									
SAMN16508486	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	16	1.6972811	290.8508906	Gambel Oak																																																																																																																																									
SAMN16507856	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	5	1.677752	30336.75753	Arizona Ash																																																																																																																																									
SAMN16507793	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	16	1.720524	249.5653757	Arizona Ash																																																																																																																																									
SAMN16508485	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	15	1.6930503	132.6540124	Gambel Oak																																																																																																																																									
SAMN16508484	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	14	1.6888195	211.3654832	Gambel Oak																																																																																																																																									
SAMN16508483	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	13	1.6845887	979.6538079	Gambel Oak																																																																																																																																									
SAMN16508482	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	12	1.6793002	11245.64949	Gambel Oak																																																																																																																																									
SAMN16508481	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	11	1.6761271	1520.233556	Gambel Oak																																																																																																																																									
SAMN16508480	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H2	16	10	1.6697809	582.0693631	Gambel Oak																																																																																																																																									
SAMN16508479	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H1	18	8	1.6842456	2094.015554	Gambel Oak																																																																																																																																									
SAMN16508478	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H1	18	7	1.6792304	1849.230023	Gambel Oak																																																																																																																																									
SAMN16508477	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H1	18	6	1.6729614	995.899488	Gambel Oak																																																																																																																																									
SAMN16508476	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H1	18	5	1.6692	601.7595127	Gambel Oak																																																																																																																																									
SAMN16507855	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	4	1.667348	8694.585018	Arizona Ash																																																																																																																																									
SAMN16508475	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O1	H1	18	4	1.6641848	404.563119	Gambel Oak																																																																																																																																									
SAMN16507907	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	2	1.661568	482.4767887	Arizona Ash																																																																																																																																									
SAMN22563719	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 10																																																																																																																																															
SAMN22563718	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 9																																																																																																																																															
SAMN22563717	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 8																																																																																																																																															
SAMN22563716	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 7																																																																																																																																															
SAMN22563715	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 6																																																																																																																																															
SAMN22563714	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 5																																																																																																																																															
SAMN22563713	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 4																																																																																																																																															
SAMN22563712	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 3																																																																																																																																															
SAMN22563727	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 18																																																																																																																																															
SAMN22563726	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 17																																																																																																																																															
SAMN22563725	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 16																																																																																																																																															
SAMN22563724	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 15																																																																																																																																															
SAMN22563723	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 14																																																																																																																																															
SAMN22563722	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 13																																																																																																																																															
SAMN22563721	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 12																																																																																																																																															
SAMN22563720	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 11																																																																																																																																															
SAMN22563711	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 2																																																																																																																																															
SAMN22563710	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 1																																																																																																																																															
SAMN14923158		C-5-Soil	2018-09-16	USA: Michigan, Dansville	42.51613 N 84.32336 W		0 m	291 m	forest soil	Carya ovata			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
SAMN14923157		A-5-Soil	2018-09-16	USA: Michigan, Dansville	42.51613 N 84.32336 W		0 m	291 m	forest soil	Acer rubrum			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
SAMN14923155		C-4-Soil	2018-09-16	USA: Michigan, Dansville	42.51598 N 84.32552 W		0 m	290 m	forest soil	Carya ovata			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
SAMN14923154		A-4-Soil	2018-09-16	USA: Michigan, Dansville	42.51598 N 84.32552 W		0 m	290 m	forest soil	Acer rubrum			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
SAMN14923153		C-3-Soil	2018-09-16	USA: Michigan, Dansville	42.51717 N 84.32599 W		0 m	290 m	forest soil	Carya ovata			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
SAMN14923152		A-3-Soil	2018-09-16	USA: Michigan, Dansville	42.51717 N 84.32599 W		0 m	290 m	forest soil	Acer rubrum			forest biome [ENVO:01000174]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Metagenome or environmental								PRJNA632843							aerobe	Surface scoop						5 g																																																																																																																										
